gene,eqZ,wbZ,ntZ,multiZ
ENSG00000000457,2.65882,2.26865,2.27821,3.21512
ENSG00000000460,2.38542,-1.90966,,
ENSG00000000938,3.13584,,,
ENSG00000000971,-0.806355,,-1.28906,
ENSG00000001084,-0.537786,,-0.159072,
ENSG00000001167,0.414488,,,
ENSG00000001460,0.470448,,2.04846,
ENSG00000001461,-1.45847,-0.612738,1.46123,0.599973
ENSG00000001561,-0.329049,0.506512,-1.34063,-0.589813
ENSG00000001629,-3.36609,,-0.765225,
ENSG00000001630,-1.96449,,,
ENSG00000001631,-1.34118,,,
ENSG00000002016,-4.63129,,-1.90924,
ENSG00000002549,-0.984509,-1.67627,,
ENSG00000002587,-1.51533,,-0.119894,
ENSG00000002726,0.412347,,,
ENSG00000002822,6.03987,,2.33202,
ENSG00000002834,1.07663,,,
ENSG00000002919,1.79427,,1.39545,
ENSG00000002933,0.992747,-1.63986,1.9729,0.235496
ENSG00000003056,1.12574,0.221041,,
ENSG00000003147,1.84704,-0.583604,-1.2377,-1.28786
ENSG00000003249,-5.60146,,-0.688853,
ENSG00000003393,2.8795,,,
ENSG00000003402,-0.263521,0.860364,,
ENSG00000003436,-1.04596,,,
ENSG00000003509,-6.8761,,-4.60574,
ENSG00000003987,0.419881,,,
ENSG00000004059,-1.54096,-2.17445,-2.55179,-3.34196
ENSG00000004139,-1.90266,-1.72784,,
ENSG00000004142,1.46461,,,
ENSG00000004399,0.30327,,-0.437866,
ENSG00000004455,-0.567118,0.88562,,
ENSG00000004487,0.410667,,,
ENSG00000004534,4.07247,,,
ENSG00000004660,0.759873,-0.149036,,
ENSG00000004700,1.3093,1.5105,1.38915,2.05037
ENSG00000004766,-1.03461,,-0.0546517,
ENSG00000004777,-1.55281,,,
ENSG00000004779,0.940273,,,
ENSG00000004799,0.476194,,,
ENSG00000004809,-1.11137,0.0123675,,
ENSG00000004897,0.295035,,,
ENSG00000005007,-0.508134,,,
ENSG00000005020,-0.692181,,,
ENSG00000005100,1.69901,,,
ENSG00000005102,-0.67458,,-0.953603,
ENSG00000005156,-0.681887,,-1.20216,
ENSG00000005175,2.10672,,,
ENSG00000005187,-1.79106,-1.66821,,
ENSG00000005189,-1.42765,,,
ENSG00000005194,-0.886227,-0.262833,-0.601571,-0.611226
ENSG00000005206,-0.830506,-0.898031,,
ENSG00000005238,-1.51604,0.0229034,,
ENSG00000005243,-1.58131,-1.48699,,
ENSG00000005249,-1.07495,-0.576089,,
ENSG00000005339,2.39876,,,
ENSG00000005379,2.05659,,0.415764,
ENSG00000005381,1.18333,,0.377794,
ENSG00000005448,-1.43963,,,
ENSG00000005469,1.57308,,,
ENSG00000005471,0.304443,,-0.309799,
ENSG00000005486,-2.80866,,,
ENSG00000005700,3.0578,,,
ENSG00000005801,1.11756,1.46196,1.26602,1.92897
ENSG00000005810,-2.87096,,,
ENSG00000005812,3.03856,,,
ENSG00000005882,0.192497,0.854798,0.877062,1.22461
ENSG00000005884,-3.07866,,,
ENSG00000006007,-0.962382,-0.571456,0.379985,-0.135391
ENSG00000006015,0.00124474,,,
ENSG00000006025,1.46646,4.06844,,
ENSG00000006042,0.373609,0.0345499,1.52404,1.10209
ENSG00000006062,0.148343,,,
ENSG00000006125,0.573126,,,
ENSG00000006194,2.8061,1.1564,,
ENSG00000006282,-2.80653,,-1.90656,
ENSG00000006432,1.7973,,,
ENSG00000006451,1.1219,,,
ENSG00000006453,-2.2122,,,
ENSG00000006459,0.297778,2.295,,
ENSG00000006530,0.277992,-0.398594,,
ENSG00000006534,-1.40735,,0.677539,
ENSG00000006555,-3.09797,,-0.615221,
ENSG00000006576,1.1816,,,
ENSG00000006607,3.65862,2.90977,2.98723,4.16981
ENSG00000006625,-3.47312,-0.512707,-0.227379,-0.523319
ENSG00000006634,-0.173752,-1.98146,-2.08202,-2.87331
ENSG00000006652,3.4432,,-1.21664,
ENSG00000006695,-0.429341,-0.0142005,,
ENSG00000006712,0.186048,,,
ENSG00000006715,0.520639,,1.27625,
ENSG00000006740,-7.23242,,0.69086,
ENSG00000006744,4.23868,2.21409,3.83071,4.27432
ENSG00000006831,-3.93545,-2.81083,,
ENSG00000006837,-0.789753,-1.31716,-2.01792,-2.35826
ENSG00000007038,1.46892,,,
ENSG00000007047,-0.0479724,,1.68243,
ENSG00000007080,2.27966,1.53884,0.441998,1.40066
ENSG00000007129,-3.58333,-2.21158,-0.85491,-2.16833
ENSG00000007168,-5.09234,,,
ENSG00000007237,1.92989,,,
ENSG00000007255,1.97668,,,
ENSG00000007264,0.688847,,,
ENSG00000007312,0.367103,1.71938,,
ENSG00000007314,1.52423,,,
ENSG00000007341,-1.30843,,,
ENSG00000007376,0.67947,,,
