gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000175203,DCTN2,3.3738880947452077,8.269295533512318e-05,0.0007411449051718556,134910.01527565622,NA,NA,NA,219,228,233,0.002558351222092689,5.7038
ENSG00000231500,RPS18,3.2745761184767916,8.41502948652835e-05,0.0010582062583952179,172800.68381226237,NA,NA,NA,379,388,992,1.1084242999673914e-29,24.2823
ENSG00000110011,DNAJC4,-3.093348622798209,-0.00015563089426205723,0.0019791149208273446,36517.209773578,NA,NA,NA,94,95,95,0.0015443359190164879,6.5981
ENSG00000120063,GNA13,-2.528657238846886,-2.2251745957649693e-05,0.011449978572520083,1328860.4615694182,NA,NA,NA,196,213,215,0.0016055938213881487,29.2468
ENSG00000167778,SPRYD3,2.5069556335924705,3.482454407456678e-05,0.012177599569969584,380295.1636362881,NA,NA,NA,372,385,392,0.0005852377902326685,18.5243
ENSG00000124782,RREB1,2.331215851006446,1.8757897763974432e-05,0.01974198073428377,1275191.9467868987,NA,NA,NA,405,427,438,0.008131835706836173,19.7292
ENSG00000184545,DUSP8,-2.327248407124202,-4.649608484393074e-05,0.019952047981047383,266141.79526062624,NA,NA,NA,298,311,316,0.006309595029362124,10.8975
ENSG00000023191,RNH1,2.3091400921111336,1.3356066691605423e-05,0.02093580862844636,2290473.7131721033,NA,NA,NA,726,867,898,0.004555574867160787,25.1808
ENSG00000161654,LSM12,-2.144806526823847,-0.00010251357811131702,0.03196831915338997,35842.03629478256,NA,NA,NA,87,88,90,0.013297458699336727,7.7851
ENSG00000149016,TUT1,1.9343377434410212,4.7213138015988215e-05,0.05307161551372368,155252.3882939063,NA,NA,NA,99,105,106,0.001222034388499087,8.4363
ENSG00000125844,RRBP1,-1.799242789383535,-1.8349327598118734e-05,0.0719802835289983,814617.9197722236,NA,NA,NA,562,571,576,0.003772576182666489,32.0279
ENSG00000153814,JAZF1,-1.7955764926342126,-9.600863811018613e-06,0.07256189727420413,2729757.2631323906,NA,NA,NA,816,845,869,0.017948136404323148,59.4772
ENSG00000167985,SDHAF2,1.7908392735331897,0.0014877614305768224,0.07331909091277272,306.1705087924101,NA,NA,NA,17,17,17,0.011461199353639255,11.9135
ENSG00000149257,SERPINH1,-1.6950245610909611,-1.4014492645506791e-05,0.09007076160491742,1294376.6955748093,NA,NA,NA,447,457,461,0.0017579854508128576,32.7361
ENSG00000165119,HNRNPK,1.691965341567993,0.005122147249153674,0.09065258206087849,9.489987876481214,NA,NA,NA,1,1,2,0.09065258206087848,4.3423
ENSG00000090615,GOLGA3,-1.6470050603533666,-1.0293174821439764e-05,0.09955700571363985,2102849.2197440383,NA,NA,NA,778,914,947,0.003232024357331049,22.4832
ENSG00000167460,TPM4,-1.5868764033480196,-5.573596721500111e-05,0.1125406401780634,75284.05727809652,NA,NA,NA,123,124,125,0.012948086270521597,20.7585
ENSG00000196419,XRCC6,1.5099132659578938,1.0380550276110066e-05,0.13106555719715066,1753154.5336500732,NA,NA,NA,495,502,512,0.01449879118765263,6.6687
ENSG00000173726,TOMM20,-1.4581751346410563,-2.884380863358195e-05,0.14479227572971548,209627.68239056913,NA,NA,NA,238,246,252,0.05355667333405847,13.7537
ENSG00000055130,CUL1,-1.448220940766908,-1.6581056490171467e-05,0.14755526987308237,629836.6743973702,NA,NA,NA,261,270,275,0.0016895973687242126,11.3106
ENSG00000183049,CAMK1D,1.42594493195203,4.4644365447379355e-06,0.15388423824834355,9195216.641220136,NA,NA,NA,1276,1309,1402,0.0008492155087681317,70.4495
ENSG00000115290,GRB14,-1.3986371056707185,-2.5532875750218395e-05,0.16192183337875998,270750.8945256606,NA,NA,NA,231,235,239,0.014893097126013076,24.9645
ENSG00000100941,PNN,-1.3904376074105593,-6.892889973284778e-06,0.16439603319967688,4099203.369157756,NA,NA,NA,758,793,825,0.01469055563702278,13.6171
ENSG00000198755,RPL10A,1.347769635245831,5.796211971336562e-06,0.1777324870751601,5219597.370308334,NA,NA,NA,1408,1436,1460,1.6961731500655718e-09,36.771
ENSG00000152804,HHEX,-1.3426527515368498,-5.118313690153871e-06,0.17938444062358216,6098378.285617199,NA,NA,NA,1243,1287,1312,0.00029332421998955795,26.9723
ENSG00000118181,RPS25,1.3127850042408984,1.7356570268892405e-05,0.1892554044710819,491696.25191118,NA,NA,NA,174,178,182,0.009375246551843977,13.5306
ENSG00000187486,KCNJ11,1.2953368590265808,9.581216867430901e-06,0.19520404926974533,1628601.8004589078,NA,NA,NA,448,460,467,0.002767616156971345,12.9023
ENSG00000116649,SRM,-1.2778526063746658,-0.00024588977015758707,0.2013014015135799,1383.385638824512,NA,NA,NA,39,39,39,0.030924866635605022,6.1386
ENSG00000100764,PSMC1,1.218506085839833,2.273811677132505e-05,0.22303171349669426,253074.38717704028,NA,NA,NA,155,158,159,0.05889271543026127,5.4465
ENSG00000127663,KDM4B,1.1684807561213366,4.7878138033840264e-06,0.24261289718784296,4750796.91304783,NA,NA,NA,658,694,706,0.03236747716826073,27.9401
ENSG00000106211,HSPB1,1.1424413858273266,1.2395491504356757e-05,0.25327059686206865,675647.4115398828,NA,NA,NA,415,424,427,0.010458424630928819,9.1002
ENSG00000185009,AP3M1,1.1100987671720934,3.5401259771035526e-06,0.26695646843177434,8490138.861222927,NA,NA,NA,823,849,863,0.007579889486566198,39.107
ENSG00000105193,RPS16,-1.090910935180418,-6.422224909796806e-06,0.27531207492338683,2491336.528071006,NA,NA,NA,386,397,406,0.03478343575247849,21.1064
ENSG00000075624,ACTB,1.0853391601224998,0.00028987913560524507,0.2777714677738916,1036.3650042998236,NA,NA,NA,23,23,23,0.13925515226538376,5.6314
ENSG00000110700,RPS13,1.072564430644885,5.032406507235146e-05,0.2834665910040428,41470.3049214102,NA,NA,NA,136,143,145,0.03878750464531953,8.474
ENSG00000134308,YWHAQ,1.059693047145479,6.148165523834833e-06,0.2892842669522224,2379734.3735581157,NA,NA,NA,398,415,422,0.014926022104215638,19.685
ENSG00000111640,GAPDH,1.0542937486004715,5.455488569900865e-06,0.29174844995678173,3264603.8585173464,NA,NA,NA,518,540,563,0.0014493577280029026,34.9959
ENSG00000136026,CKAP4,0.9873777740042053,1.0289870230944718e-05,0.32345747609355346,550200.4771502678,NA,NA,NA,633,645,659,0.008077808750248988,34.852
ENSG00000137955,RABGGTB,0.9837739444960394,4.5732355586748745e-06,0.3252266731036486,3861157.717814271,NA,NA,NA,1150,1187,1238,0.009187630065838146,15.7434
ENSG00000188846,RPL14,0.9795832431310428,1.2335460804178702e-06,0.3272918797662586,48109455.27667394,NA,NA,NA,1335,1369,1441,0.002529299498215765,33.8669
ENSG00000205250,E2F4,-0.9737338056345618,-4.930350177078538e-06,0.33018872747015615,1308229.4124902545,NA,NA,NA,885,918,933,0.0013731097258337403,11.7655
ENSG00000221983,UBA52,-0.93087588811354,-3.4974324003767784e-06,0.3519177684163237,5854085.507210943,NA,NA,NA,619,653,674,0.009480693957266131,38.8508
ENSG00000163468,CCT3,-0.9142019523453274,-3.2787385609402283e-06,0.3606107384791045,6627102.189159261,NA,NA,NA,545,567,579,0.0035756117178179555,38.2049
ENSG00000106633,GCK,0.904955440813603,4.627248226191942e-05,0.3654889939881071,35263.45723330958,NA,NA,NA,76,78,79,0.03777294884221708,10.9726
ENSG00000103496,STX4,-0.8867253057243276,-1.4280862083685916e-06,0.3752268105923473,33778586.11897884,NA,NA,NA,1025,1082,1112,0.028699871801510166,46.0663
ENSG00000089157,RPLP0,0.8487077295222616,2.6658388302240423e-05,0.39604394410377797,95501.67556011713,NA,NA,NA,126,132,133,0.21231372446646735,8.2784
ENSG00000142541,RPL13A,0.8057862141491272,6.59794456446156e-06,0.4203661282892922,1289537.0457093148,NA,NA,NA,575,611,629,0.015517980366415973,28.8683
ENSG00000078808,SDF4,0.8020613802132764,5.898195956422757e-06,0.4225174533872016,1320512.192573053,NA,NA,NA,502,553,575,0.018996256748234547,27.708
ENSG00000168894,RNF181,0.771832750318508,2.6274214370228128e-05,0.4402134917847623,76761.14115058344,NA,NA,NA,150,151,155,0.0271483927972762,7.0731
ENSG00000166598,HSP90B1,-0.7337170216700555,-2.395157689834948e-05,0.4631212221408062,76558.58001055897,NA,NA,NA,132,135,135,0.00507308951509278,7.7838
ENSG00000140259,MFAP1,0.7330579663215533,4.4198335525826055e-06,0.46352307562315553,3713434.1819184516,NA,NA,NA,773,812,833,0.10994327438153684,11.7225
ENSG00000148737,TCF7L2,0.7203459346949801,1.0218330406753453e-05,0.47131202922215154,476971.6457392399,NA,NA,NA,266,274,285,0.008238935157463422,24.4298
ENSG00000063244,U2AF2,-0.7081706890909666,-4.2475581070645345e-05,0.4788392658698386,29646.698017679948,NA,NA,NA,95,97,98,0.01371064865456589,10.326
ENSG00000106682,EIF4H,-0.7078252670614289,-9.943838290600738e-06,0.47905377343785194,441697.1438397196,NA,NA,NA,150,155,156,0.009240471204751823,12.7454
ENSG00000165280,VCP,0.70026761021614,2.010097515910125e-06,0.483760195415461,10672032.21854862,NA,NA,NA,936,968,985,0.03531931260594482,37.455
ENSG00000157020,SEC13,0.6755330414495784,1.848527820998909e-06,0.4993371663243905,11396657.422963675,NA,NA,NA,1317,1373,1420,0.016521296297204845,42.4037
ENSG00000153774,CFDP1,-0.6732087347124431,-8.881054722178059e-07,0.5008145050256276,48038885.959424995,NA,NA,NA,1317,1357,1387,0.008886077501318033,42.7703
ENSG00000157500,APPL1,-0.6588663141252069,-1.340272635106636e-05,0.5099816189549696,190036.47172386255,NA,NA,NA,194,200,203,0.007104746017422255,8.0936
ENSG00000163902,RPN1,-0.6524948668231266,-2.7893007458349976e-06,0.5140819832182575,5232568.762687734,NA,NA,NA,865,903,929,0.010242510542301563,25.3309
ENSG00000079246,XRCC5,-0.6442170656837873,-7.2693704411584935e-06,0.5194346860375754,657098.4786710078,NA,NA,NA,370,376,381,0.047655404950057566,19.7452
ENSG00000154945,ANKRD40,-0.6274827536934114,-2.4072120507527882e-05,0.5303428376560699,115483.60649996127,NA,NA,NA,130,134,137,0.05438051054324611,13.7949
ENSG00000168175,MAPK1IP1L,0.6272247973655675,4.1640859145043236e-05,0.5305118907049744,19004.21173988178,NA,NA,NA,80,84,88,0.24542370996338048,5.3445
ENSG00000073849,ST6GAL1,0.6129958533758737,4.77418304207819e-06,0.5398790815361845,1522787.7776532408,NA,NA,NA,612,631,669,0.0011560786967500043,25.778
ENSG00000135829,DHX9,0.6128233076431143,8.842173982789616e-05,0.539993177728908,1934.0072087353508,NA,NA,NA,44,44,45,0.47878521865285384,5.1206
ENSG00000143870,PDIA6,0.6113757579195578,2.1247315206932517e-06,0.540950847712577,6835890.319914117,NA,NA,NA,565,578,590,0.02007789928027387,28.41
ENSG00000161016,RPL8,-0.5392692598522059,-4.949632455513499e-07,0.5897010765424919,99393232.25713168,NA,NA,NA,1235,1295,1349,0.0012707152261497842,81.1565
ENSG00000096384,HSP90AB1,-0.5348612442177775,-0.00015332473692596316,0.5927458093442324,1302.4312001316364,NA,NA,NA,21,21,21,0.07558284168372852,5.5293
