gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000231500,RPS18,3.479442485394736,0.00046134053098928355,0.0005024582086408118,182380.0720669726,NA,NA,NA,386,388,992,0.00014805710901980078,24.2823
ENSG00000167658,EEF2,-3.072026648690352,-0.00048611897428089566,0.002126107432780142,135860.58267926003,NA,NA,NA,201,204,206,0.004889401944791284,14.396
ENSG00000110700,RPS13,2.979153422918567,0.0008372672814693043,0.002890460109191765,42283.77960585061,NA,NA,NA,141,143,145,0.02292210503054386,8.474
ENSG00000183049,CAMK1D,2.5884045178304076,5.0099754485787434e-05,0.009642167444954356,9486896.794251487,NA,NA,NA,1249,1309,1402,0.00016998090277565547,70.4495
ENSG00000143621,ILF2,2.471866553986688,0.0003659284169056035,0.013440967862268918,151739.4646371136,NA,NA,NA,146,148,153,0.02168777120075648,11.1456
ENSG00000187486,KCNJ11,2.4005696987283955,0.00010527282462248215,0.016369573015664093,1694959.5522804575,NA,NA,NA,458,460,467,0.0013192331054297558,12.9023
ENSG00000166441,RPL27A,-1.9765431207614463,-6.029906286345559e-05,0.04809329696805758,3499459.6899236985,NA,NA,NA,876,885,901,0.000617265407442293,17.4519
ENSG00000136026,CKAP4,1.7863346187370024,0.00014566332035573635,0.07404509483329749,557259.3534691584,NA,NA,NA,603,645,659,0.007971027588250877,34.852
ENSG00000103496,STX4,-1.7552880331834613,-1.6773842265740406e-05,0.07921005235405901,36809546.380792715,NA,NA,NA,1045,1082,1112,0.0020526086440326567,46.0663
ENSG00000165280,VCP,-1.7394813894142152,-3.08012209014712e-05,0.0819501229963605,11025870.600740615,NA,NA,NA,955,968,985,0.0004512990884571505,37.455
ENSG00000108561,C1QBP,-1.7325609170533005,-0.001123380038581355,0.08317374090743974,8773.916122116836,NA,NA,NA,60,61,64,0.023290006877753136,6.4083
ENSG00000161960,EIF4A1,-1.7161048402306258,-0.017760778096586893,0.08614285551155489,35.061374033132665,NA,NA,NA,3,3,3,0.08836100143277152,5.6868
ENSG00000163468,CCT3,-1.6548799147197137,-3.4876865844833266e-05,0.09794885925327992,7338778.408874719,NA,NA,NA,557,567,579,0.006118574927344373,38.2049
ENSG00000152804,HHEX,-1.5611824843941395,-3.574748448002711e-05,0.11848070051781556,6344284.210510157,NA,NA,NA,1267,1287,1312,0.001018194462394472,26.9723
ENSG00000145425,RPS3A,-1.5427740986522653,-9.100230850507966e-05,0.1228855960133835,910291.0952639916,NA,NA,NA,772,774,793,0.010084289261267025,14.1043
ENSG00000149016,TUT1,1.513227155204586,0.00019688759634980445,0.1302219687429958,168310.00751282275,NA,NA,NA,104,105,106,0.04012822389162998,8.4363
ENSG00000188846,RPL14,1.4768575550105858,1.1823399043291588e-05,0.13971382466218282,48528292.59298475,NA,NA,NA,1344,1369,1441,3.635697289827683e-05,33.8669
ENSG00000149273,RPS3,-1.4418082847304075,-0.0014602666305149157,0.14935646506401642,3508.1830954424595,NA,NA,NA,26,26,26,0.1204166193198555,8.2356
ENSG00000198755,RPL10A,-1.400022255801036,-3.433830454811729e-05,0.16150665396200026,5348229.598240543,NA,NA,NA,1433,1436,1460,0.003019631678225905,36.771
ENSG00000166598,HSP90B1,1.3846478470671917,0.00027263657816372163,0.16616017339282618,80475.71426544224,NA,NA,NA,135,135,135,0.19654374944868724,7.7838
ENSG00000142541,RPL13A,1.3745790967415354,5.953426926938913e-05,0.1692619728014868,1502644.0659977426,NA,NA,NA,602,611,629,0.0005244683816565649,28.8683
ENSG00000120063,GNA13,1.367168122987044,7.552786237824803e-05,0.17157261449182515,1162418.719108806,NA,NA,NA,179,213,215,0.00142460559077541,29.2468
ENSG00000205250,E2F4,-1.3619420850793948,-6.766714425267427e-05,0.17321616317128175,1391414.734383383,NA,NA,NA,914,918,933,0.00946725023189837,11.7655
ENSG00000221983,UBA52,-1.3495072794163223,-3.083837757029514e-05,0.17717408377810817,6411770.637001413,NA,NA,NA,636,653,674,0.008372150226713265,38.8508
ENSG00000179950,PUF60,-1.3459006660819004,-0.0026743246596080752,0.17833455400177622,712.1236060777226,NA,NA,NA,20,20,20,0.11625848791488413,5.7586
ENSG00000148303,RPL7A,1.344738483428955,0.26303844908157137,0.17870970230659455,0.2930310100625889,NA,NA,NA,1,1,1,0.17870970230659455,4.3226
ENSG00000167460,TPM4,1.3160820266838331,0.00027583745420055544,0.18814651280792616,75670.04401846846,NA,NA,NA,118,124,125,0.0014419024258280242,20.7585
ENSG00000163902,RPN1,-1.309805441345143,-2.9552934862624323e-05,0.190261661910893,5907200.9627384925,NA,NA,NA,885,903,929,0.013915451275670437,25.3309
ENSG00000175203,DCTN2,1.292631640730616,0.00019541355878233631,0.1961384908611794,135771.99800739967,NA,NA,NA,223,228,233,0.15425368920584956,5.7038
ENSG00000167778,SPRYD3,1.25083320865844,0.00011387672978390214,0.21099533621719868,383782.7831230562,NA,NA,NA,380,385,392,0.011944382975124877,18.5243
ENSG00000185009,AP3M1,1.2472925360515457,2.4837181934381585e-05,0.2122902532444133,8565379.899242213,NA,NA,NA,805,849,863,0.0011041762035090186,39.107
ENSG00000111640,GAPDH,1.2289210649802416,4.0353234594965644e-05,0.21910140268265943,3249072.786526395,NA,NA,NA,525,540,563,0.01498402205870556,34.9959
ENSG00000170542,SERPINB9,-1.1943389491285898,-3.195360470581614e-05,0.23234540766323009,4864889.68665142,NA,NA,NA,860,888,909,0.008131526163007285,50.9799
ENSG00000168175,MAPK1IP1L,1.1670546230501395,0.00046246761673857686,0.2431883112583102,19925.205858857087,NA,NA,NA,84,84,88,0.08451440717758796,5.3445
ENSG00000168894,RNF181,1.1187268654739304,0.00023144831885432948,0.2632566802976939,76902.57228968627,NA,NA,NA,151,151,155,0.01408858329859903,7.0731
ENSG00000063244,U2AF2,-1.094323453162376,-0.00038042444972449276,0.27381314269807233,29906.355207303506,NA,NA,NA,96,97,98,0.04977466970627133,10.326
ENSG00000106211,HSPB1,1.0780327283914843,7.586282624321954e-05,0.28101915072473327,684769.2880815602,NA,NA,NA,421,424,427,0.011626250497224539,9.1002
ENSG00000140259,MFAP1,-1.0624167666659983,-3.297816311851105e-05,0.28804652545527654,3396275.0114300633,NA,NA,NA,753,812,833,0.027672928515045752,11.7225
ENSG00000154945,ANKRD40,1.006216930700488,0.00017708365849143274,0.3143112295744912,118017.0614540157,NA,NA,NA,133,134,137,0.00880949938967197,13.7949
ENSG00000100941,PNN,0.9291320117333793,2.550226144082813e-05,0.3528206764255415,4251366.5745535595,NA,NA,NA,779,793,825,0.006217578620030131,13.6171
ENSG00000148737,TCF7L2,-0.8970004969384185,-7.01046919078637e-05,0.3697186518551785,519572.56226929795,NA,NA,NA,273,274,285,4.994537417618312e-05,24.4298
ENSG00000125844,RRBP1,0.8251325587541991,5.1882877972016394e-05,0.40929633681633115,849068.4842828994,NA,NA,NA,563,571,576,0.005351940486024814,32.0279
ENSG00000115290,GRB14,0.8079043170457423,8.765475459395103e-05,0.41914566593146174,269910.0382629332,NA,NA,NA,231,235,239,0.02936693976654235,24.9645
ENSG00000167004,PDIA3,0.8043620181827321,3.0061991615538416e-05,0.4211879300103595,2311651.5840450395,NA,NA,NA,369,407,417,0.017016463178723337,12.1223
ENSG00000157020,SEC13,0.7676738051978002,1.2488143689232172e-05,0.44268100232696384,11987916.875020472,NA,NA,NA,1327,1373,1420,0.0009440474858757502,42.4037
ENSG00000135829,DHX9,-0.7596739431920996,-0.0008007691803020241,0.4474495077871996,1934.0072087353508,NA,NA,NA,44,44,45,0.32746308696806514,5.1206
ENSG00000174326,SLC16A11,-0.752071647998039,-0.00030344924867367146,0.45200797292580985,20349.21173809089,NA,NA,NA,55,55,59,0.19116079924528606,10.6913
ENSG00000149257,SERPINH1,0.7481302832413094,3.750552055256816e-05,0.454381577419651,1302522.8307987133,NA,NA,NA,447,457,461,0.002516069717008279,32.7361
ENSG00000079246,XRCC5,-0.7357383342395788,-5.3251239111826946e-05,0.4618899556882152,667632.0047598256,NA,NA,NA,374,376,381,0.019303597459486278,19.7452
ENSG00000023191,RNH1,0.7225488248381662,2.1737154016045464e-05,0.4699571184664999,2779189.5307033784,NA,NA,NA,854,867,898,0.022823728193184012,25.1808
ENSG00000161016,RPL8,-0.7125793715071865,-3.968760078024591e-06,0.47610608037378555,103591239.61277322,NA,NA,NA,1198,1295,1349,0.0006594730825209491,81.1565
ENSG00000173726,TOMM20,0.6705591075007794,8.435182123246047e-05,0.5025014403082517,217336.37766135702,NA,NA,NA,244,246,252,0.016819143704828177,13.7537
ENSG00000124782,RREB1,0.6536054683499427,3.421475299714022e-05,0.5133660202675778,1236897.3838969134,NA,NA,NA,409,427,438,0.017574652524043076,19.7292
ENSG00000198242,RPL23A,0.6510217511033044,0.006922573985102055,0.5150324461122048,39.47304346857144,NA,NA,NA,11,13,13,0.06989813528614698,5.7942
ENSG00000110011,DNAJC4,-0.6472689051432555,-0.00019305157915711047,0.5174579225010997,36517.209773578,NA,NA,NA,94,95,95,0.1343369429857876,6.5981
ENSG00000105968,H2AFV,0.637246536281407,7.354813155261964e-05,0.5239642696156717,236550.65944790107,NA,NA,NA,259,260,265,0.006281722649427977,9.9875
ENSG00000196419,XRCC6,-0.632114941610931,-2.855754251510583e-05,0.527311772414727,1770243.753402541,NA,NA,NA,498,502,512,0.0538070315342131,6.6687
ENSG00000153774,CFDP1,-0.6178565116766108,-5.112557445412892e-06,0.536669927942854,49696219.230200544,NA,NA,NA,1344,1357,1387,0.0020131387082635605,42.7703
ENSG00000168028,RPSA,0.6117765527031931,4.399123662994102e-05,0.5406856049528476,649539.5924620586,NA,NA,NA,462,491,505,0.014323699665304107,14.7166
