Gene,Trait,Group,Z_eQTLGen,P,BH_q,Model_SNPs,FDR_significant
ACTB,DR,Candidate,+1.0853,0.278,0.7896,23/23,No
CKAP4,DR,Candidate,+0.9874,0.323,0.7939,633/659,No
DDX5,DR,Candidate,-0.0049,0.996,0.9961,335/367,No
EIF4A1,DR,Candidate,0.219636,0.826154,0.919994,3/3,No
EIF4H,DR,Candidate,-0.7078,0.479,0.8163,150/156,No
GAPDH,DR,Candidate,1.052764,0.292449,0.789613,520/563,No
H2AFV,DR,Candidate,+0.1435,0.886,0.92,248/265,No
HSP90AB1,DR,Candidate,-0.5349,0.593,0.8423,21/21,No
HSP90B1,DR,Candidate,-0.7337,0.463,0.8163,132/135,No
ILF2,DR,Candidate,-0.4272,0.669,0.9035,140/153,No
RNH1,DR,Candidate,+2.3064,0.0211,0.1898,726/898,No
RPL13A,DR,Candidate,+0.8058,0.42,0.8163,575/629,No
RPL23A,DR,Candidate,0.175272,0.860866,0.919994,13/13,No
RPL8,DR,Candidate,-0.5418,0.588,0.8423,1235/1349,No
RPLP0,DR,Candidate,+0.8487,0.396,0.8163,126/133,No
RPS13,DR,Candidate,+1.0726,0.283,0.7896,136/145,No
RPS14,DR,Candidate,+0.2811,0.779,0.92,197/208,No
RPS16,DR,Candidate,-1.0909,0.275,0.7896,386/406,No
RPS18,DR,Candidate,+3.2746,0.00106,0.01429,379/992,Yes
RPS25,DR,Candidate,+1.3203,0.187,0.7896,174/182,No
RPS3,DR,Candidate,+0.1775,0.859,0.92,25/26,No
RPSA,DR,Candidate,-0.2345,0.815,0.92,475/505,No
TUBB,DR,Candidate,+11.8932,0,0,359/1848,Yes
VCP,DR,Candidate,+0.7003,0.484,0.8163,936/985,No
XRCC5,DR,Candidate,-0.6442,0.519,0.825,370/381,No
XRCC6,DR,Candidate,+1.5099,0.131,0.7896,495/512,No
YWHAQ,DR,Candidate,+1.0603,0.289,0.7896,398/422,No
ANXA1,DR,Non-candidate,+0.9302,0.352,0.8196,1572/1635,No
ANXA5,DR,Non-candidate,-0.4271,0.669,0.925,1654/1769,No
C1QBP,DR,Non-candidate,+0.4810,0.631,0.925,56/64,No
CCT3,DR,Non-candidate,-0.9142,0.361,0.8196,545/579,No
DHX9,DR,Non-candidate,0.612823,0.539993,0.845236,44/45,No
EEF2,DR,Non-candidate,+0.2057,0.837,0.9822,188/206,No
EHD4,DR,Non-candidate,+0.7578,0.449,0.8452,1631/1731,No
GNA13,DR,Non-candidate,-2.5287,0.0115,0.2862,196/215,No
HNRNPK,DR,Non-candidate,+1.6920,0.0907,0.7393,1/2,No
HSPB1,DR,Non-candidate,+1.1424,0.253,0.8196,415/427,No
MFAP1,DR,Non-candidate,+0.7329,0.464,0.8452,773/833,No
MYH9,DR,Non-candidate,-0.1988,0.842,0.9822,365/391,No
NCL,DR,Non-candidate,+0.0181,0.986,0.9857,496/515,No
PDIA3,DR,Non-candidate,-0.1708,0.864,0.9822,394/417,No
PDIA6,DR,Non-candidate,+0.6114,0.541,0.8452,565/590,No
PNN,DR,Non-candidate,-1.3888,0.165,0.7393,758/825,No
PUF60,DR,Non-candidate,+0.0213,0.983,0.9857,20/20,No
RPL10A,DR,Non-candidate,+1.3487,0.177,0.7393,1408/1460,No
RPL14,DR,Non-candidate,+0.9782,0.328,0.8196,1335/1441,No
RPL27A,DR,Non-candidate,+0.0179,0.986,0.9857,859/901,No
RPN1,DR,Non-candidate,-0.6499,0.516,0.8452,865/929,No
RPS3A,DR,Non-candidate,+0.3812,0.703,0.925,750/793,No
RPS8,DR,Non-candidate,+1.4321,0.152,0.7393,1424/1541,No
RRBP1,DR,Non-candidate,-1.7992,0.072,0.7393,562/576,No
UBA52,DR,Non-candidate,-0.9256,0.355,0.8196,619/674,No
ARAP1,DR,T2DM control,0.031009,0.975262,0.988935,217/221,No
APPL1,DR,T2DM control,-0.658866,0.509982,0.701893,194/203,No
CAMK1D,DR,T2DM control,+1.4263,0.154,0.4741,1276/1402,No
CDKAL1,DR,T2DM control,+0.2540,0.8,0.9708,779/820,No
DUSP8,DR,T2DM control,-2.3272,0.02,0.1696,298/316,No
FTO,DR,T2DM control,+0.1647,0.869,0.9851,406/415,No
GCK,DR,T2DM control,0.904955,0.365489,0.701893,76/79,No
GRB14,DR,T2DM control,-1.3986,0.162,0.4741,231/239,No
HHEX,DR,T2DM control,-1.3455,0.178,0.4741,1243/1312,No
JAZF1,DR,T2DM control,-1.7956,0.0726,0.4112,816/869,No
KCNJ11,DR,T2DM control,+1.2953,0.195,0.4741,448/467,No
PAM,DR,T2DM control,+0.6629,0.507,0.7019,4670/5032,No
PPARG,DR,T2DM control,-0.8909,0.373,0.7019,1431/1511,No
RREB1,DR,T2DM control,2.331216,0.019742,0.169592,405/438,No
SLC16A11,DR,T2DM control,+0.0139,0.989,0.9889,53/59,No
ST6GAL1,DR,T2DM control,+0.6177,0.537,0.7019,612/669,No
TCF7L2,DR,T2DM control,+0.7203,0.471,0.7019,266/285,No
ACTB,DN,Candidate,-0.1292,0.897,0.9923,23/23,No
CKAP4,DN,Candidate,-0.5800,0.562,0.9209,633/659,No
DDX5,DN,Candidate,+0.4565,0.648,0.9209,335/367,No
EIF4A1,DN,Candidate,-0.571696,0.567528,0.92091,3/3,No
EIF4H,DN,Candidate,+0.3657,0.715,0.9647,150/156,No
GAPDH,DN,Candidate,0.04412,0.964809,0.992334,520/563,No
H2AFV,DN,Candidate,-1.6478,0.0994,0.3833,248/265,No
HSP90AB1,DN,Candidate,+1.5748,0.115,0.3891,21/21,No
HSP90B1,DN,Candidate,+1.7358,0.0826,0.3717,132/135,No
ILF2,DN,Candidate,+0.5767,0.564,0.9209,140/153,No
RNH1,DN,Candidate,+1.1530,0.249,0.6109,726/898,No
RPL13A,DN,Candidate,-1.9158,0.0554,0.3717,575/629,No
RPL23A,DN,Candidate,0.031777,0.97465,0.992334,13/13,No
RPL8,DN,Candidate,+0.4609,0.645,0.9209,1235/1349,No
RPLP0,DN,Candidate,+1.7875,0.0739,0.3717,126/133,No
RPS13,DN,Candidate,-0.0704,0.944,0.9923,136/145,No
RPS14,DN,Candidate,+0.5106,0.61,0.9209,197/208,No
RPS16,DN,Candidate,-0.6343,0.526,0.9209,386/406,No
RPS18,DN,Candidate,+1.2633,0.206,0.5575,379/992,No
RPS25,DN,Candidate,-0.1244,0.901,0.9923,174/182,No
RPS3,DN,Candidate,-0.0096,0.992,0.9923,25/26,No
RPSA,DN,Candidate,+1.7443,0.0811,0.3717,475/505,No
TUBB,DN,Candidate,+9.4965,0,0,359/1848,Yes
VCP,DN,Candidate,+0.0997,0.921,0.9923,936/985,No
XRCC5,DN,Candidate,+1.3060,0.192,0.5575,370/381,No
XRCC6,DN,Candidate,+0.5219,0.602,0.9209,495/512,No
YWHAQ,DN,Candidate,-2.1973,0.028,0.3717,398/422,No
ANXA1,DN,Non-candidate,+0.6555,0.512,0.7926,1572/1635,No
ANXA5,DN,Non-candidate,-0.6453,0.519,0.7926,1654/1769,No
C1QBP,DN,Non-candidate,+2.3945,0.0166,0.208,56/64,No
