Gene,Trait,Z_Nerve_Tibial,Z_Whole_Blood,Z_multi_tissue,P_Stouffer,FDR_q_Stouffer,P_ACAT_O,FDR_q_ACAT_O,n_Tissues
ACTB,DR,-1.0831,-1.3793,-1.750,0.0801,0.4923,0.2085,0.7963,2
ANXA1,DR,-0.9612,0.4283,-0.320,0.7492,0.9352,0.5138,0.9909,2
ANXA5,DR,-0.0283,-0.2936,-0.238,0.8119,0.9352,0.9563,0.9951,2
APPL1,DR,-2.4075,,-2.408,0.0161,0.1482,0.0161,0.1482,1
ARAP1,DR,-0.9056,,-0.906,0.3652,0.5456,0.3652,0.6939,1
C1QBP,DR,-0.1081,0.2702,0.130,0.8967,0.9352,0.8728,0.9951,2
CAMK1D,DR,2.2801,2.6809,3.518,0.0004,0.0076,0.0108,0.1482,2
CCT3,DR,-2.4222,-0.6175,-2.072,0.0382,0.2063,0.0329,0.3490,2
CDKAL1,DR,-0.9576,1.1293,0.206,0.8368,0.9352,0.2926,0.6838,2
CKAP4,DR,-0.5622,0.9157,0.310,0.7568,0.9285,0.4565,0.7963,2
DDX5,DR,0.7553,0.7553,1.066,0.2862,0.6678,0.4501,0.7963,2
DHX9,DR,0.2577,,0.258,0.7966,0.9352,0.7966,0.9951,1
DUSP8,DR,-1.3124,0.7725,-0.296,0.7669,0.9107,0.2857,0.6838,2
EEF2,DR,-0.6376,0.3946,-0.130,0.8969,0.9352,0.6217,0.9951,2
EHD4,DR,1.1782,1.7641,2.101,0.0356,0.2063,0.1157,0.5206,2
EIF4A1,DR,1.3906,,1.391,0.1643,0.5751,0.1643,0.7963,1
EIF4H,DR,,-0.7884,-0.788,0.4305,0.7272,0.4305,0.7963,1
FTO,DR,-0.0077,1.2969,0.963,0.3355,0.5456,0.9866,0.9918,2
GAPDH,DR,0.6594,,0.659,0.5096,0.7272,0.5096,0.7963,1
GCK,DR,0.7256,,0.726,0.4681,0.6353,0.4681,0.7170,1
GCKR,DR,0.6387,0.6387,0.902,0.3671,0.5456,0.5230,0.7170,2
GNA13,DR,,-1.6684,-1.668,0.0952,0.3672,0.0952,0.5141,1
GRB14,DR,-0.3696,0.4047,0.056,0.9551,0.9551,0.6983,0.8292,2
H2AFV,DR,0.5624,1.2000,1.270,0.2041,0.5987,0.3555,0.7963,2
HHEX,DR,0.6306,0.6306,0.890,0.3733,0.5456,0.5283,0.7170,2
HNRNPA3,DR,0.6559,,0.656,0.5119,0.7272,0.5119,0.7963,1
HSP90AB1,DR,0.4651,-0.6445,-0.172,0.8636,0.9300,0.5801,0.8121,2
HSP90B1,DR,1.2567,-0.0348,0.810,0.4179,0.7272,0.9421,0.9631,2
HSPB1,DR,,1.3411,1.341,0.1799,0.5397,0.1799,0.6939,1
HSPD1,DR,,-0.0062,-0.006,0.9951,0.9951,0.9951,0.9951,1
JAZF1,DR,0.0048,-1.2179,-0.906,0.3649,0.5456,0.9918,0.9918,2
KCNJ11,DR,0.1591,1.0736,0.907,0.3642,0.5456,0.6932,0.8292,2
KLF14,DR,,1.1653,1.165,0.2439,0.5456,0.2439,0.6838,1
MFAP1,DR,,0.6662,0.666,0.5053,0.9095,0.5053,0.9909,1
MYH9,DR,0.8814,,0.881,0.3781,0.8507,0.3781,0.8507,1
NCL,DR,,-1.1251,-1.125,0.2606,0.6397,0.2606,0.7036,1
PAM,DR,,0.1221,0.122,0.9028,0.9530,0.9028,0.9918,1
PCBP2,DR,,0.1740,0.174,0.8619,0.9352,0.8619,0.9951,1
PDIA3,DR,4.1658,0.4012,3.071,0.0021,0.0513,0.0001,0.0027,2
PDIA6,DR,,0.1250,0.125,0.9006,0.9352,0.9006,0.9951,1
PNN,DR,-2.0162,-1.8684,-2.736,0.0062,0.0558,0.0517,0.3490,2
PPARG,DR,-0.6404,-1.6878,-1.686,0.0918,0.4361,0.1647,0.6838,2
PROX1,DR,-1.2577,,-1.258,0.2085,0.5456,0.2085,0.6838,1
PUF60,DR,1.1947,1.1947,1.687,0.0916,0.3672,0.2322,0.7036,2
RNH1,DR,2.6675,2.3198,3.507,0.0005,0.0140,0.0114,0.3192,2
RPL10A,DR,-0.0401,-1.9510,-1.483,0.1380,0.4658,0.8034,0.9951,2
RPL13A,DR,-0.2165,,-0.217,0.8286,0.9300,0.8286,0.9280,1
RPL14,DR,-0.7517,0.9996,0.246,0.8055,0.9352,0.3754,0.8507,2
RPL23A,DR,0.7170,,0.717,0.4734,0.7272,0.4734,0.7963,1
RPL27A,DR,0.5064,0.0225,0.354,0.7236,0.9352,0.9667,0.9951,2
RPL5,DR,,0.6047,0.605,0.5454,0.7272,0.5454,0.8037,1
RPL7,DR,1.1520,,1.152,0.2493,0.6397,0.2493,0.7036,1
RPL8,DR,-0.8407,-0.8407,-1.187,0.2352,0.5987,0.4005,0.7963,2
RPLP0,DR,0.7036,1.2856,1.428,0.1533,0.5751,0.2928,0.7963,2
RPN1,DR,-0.1762,-0.8341,-0.740,0.4593,0.8858,0.7221,0.9951,2
RPS13,DR,-0.0306,-0.0848,-0.084,0.9333,0.9473,0.9631,0.9631,2
RPS14,DR,-0.1308,0.2050,0.066,0.9473,0.9473,0.8711,0.9381,2
RPS16,DR,-0.1104,-0.7542,-0.637,0.5244,0.7272,0.8203,0.9280,2
RPS18,DR,1.1308,1.1605,1.619,0.1055,0.4923,0.2515,0.7963,2
RPS25,DR,1.8604,1.3877,2.274,0.0230,0.3220,0.0941,0.7963,2
RPS3,DR,-0.3020,,-0.302,0.7627,0.9285,0.7627,0.9280,1
RPS3A,DR,-0.3475,,-0.348,0.7282,0.9352,0.7282,0.9951,1
RPS8,DR,2.0500,2.0500,2.894,0.0038,0.0513,0.0404,0.3490,2
