Gene,Trait,Z_GTEx,Z_eQTLGen,Same
ANXA1,DR,0.4283,0.9302,True
ANXA5,DR,-0.2936,-0.4271,True
C1QBP,DR,0.2702,0.4810,True
CAMK1D,DR,2.6809,1.4263,True
CCT3,DR,-0.6175,-0.9142,True
CDKAL1,DR,1.1293,0.2540,True
DUSP8,DR,0.7725,-2.3272,False
EEF2,DR,0.3946,0.2057,True
EHD4,DR,1.7641,0.7578,True
FTO,DR,1.2969,0.1647,True
GNA13,DR,-1.6684,-2.5287,True
GRB14,DR,0.4047,-1.3986,False
HHEX,DR,0.6306,-1.3455,False
HSPB1,DR,1.3411,1.1424,True
JAZF1,DR,-1.2179,-1.7956,True
KCNJ11,DR,1.0736,1.2953,True
MFAP1,DR,0.6662,0.7329,True
NCL,DR,-1.1251,0.0181,False
PAM,DR,0.1221,0.6629,True
PDIA3,DR,0.4012,-0.1708,False
PDIA6,DR,0.1250,0.6114,True
PNN,DR,-1.8684,-1.3888,True
PPARG,DR,-1.6878,-0.8909,True
PUF60,DR,1.1947,0.0213,True
RPL10A,DR,-1.9510,1.3487,False
RPL14,DR,0.9996,0.9782,True
RPL27A,DR,0.0225,0.0179,True
RPN1,DR,-0.8341,-0.6499,True
RPS8,DR,2.0500,1.4321,True
RRBP1,DR,0.3871,-1.7992,False
ST6GAL1,DR,-0.4508,0.6177,False
UBA52,DR,0.2893,-0.9256,False
ANXA1,DN,0.4188,0.6555,True
ANXA5,DN,1.4927,-0.6453,False
C1QBP,DN,-0.8598,2.3945,False
CAMK1D,DN,1.9959,0.8791,True
CCT3,DN,1.5906,1.6147,True
CDKAL1,DN,1.5564,-0.3376,False
DUSP8,DN,-0.4796,-1.9164,True
EEF2,DN,-0.0252,-0.4009,True
EHD4,DN,0.1790,0.6114,True
FTO,DN,2.6540,1.4148,True
GNA13,DN,-1.5506,-1.8563,True
GRB14,DN,0.8851,0.2421,True
HHEX,DN,0.3608,-1.9269,False
HSPB1,DN,0.6347,1.7478,True
JAZF1,DN,-0.6996,-0.0669,True
KCNJ11,DN,0.1847,-0.0696,False
MFAP1,DN,0.6394,0.6868,True
NCL,DN,-0.9085,-2.7833,True
PAM,DN,-0.3525,0.2072,False
PDIA3,DN,0.3797,0.3462,True
PDIA6,DN,0.6169,1.0727,True
PNN,DN,0.4956,-1.9490,False
PPARG,DN,0.0745,1.1245,True
PUF60,DN,0.6620,-0.4883,False
RPL10A,DN,-0.7784,1.4392,False
RPL14,DN,-0.0405,-0.3705,True
RPL27A,DN,0.3504,1.1329,True
RPN1,DN,0.4534,0.4336,True
RPS8,DN,1.6484,1.7561,True
RRBP1,DN,0.4897,-2.0907,False
ST6GAL1,DN,-1.5702,-0.6575,True
UBA52,DN,1.1654,-1.1336,False
ANXA1,DPN,2.6286,2.3983,True
ANXA5,DPN,-1.6571,-0.0080,True
C1QBP,DPN,-1.1547,0.7858,False
CAMK1D,DPN,-1.5776,-1.2968,True
CCT3,DPN,1.3068,1.2878,True
CDKAL1,DPN,0.1735,-1.3248,False
DUSP8,DPN,0.3604,0.1323,True
EEF2,DPN,0.9432,1.0777,True
EHD4,DPN,-1.5206,0.3851,False
FTO,DPN,0.8393,0.8126,True
GNA13,DPN,0.9492,0.4493,True
GRB14,DPN,-0.7772,-1.0130,True
HHEX,DPN,0.8826,-1.6314,False
HSPB1,DPN,0.3664,1.1415,True
JAZF1,DPN,-0.4589,-0.7213,True
KCNJ11,DPN,0.4733,1.1103,True
MFAP1,DPN,-0.2318,-0.2832,True
NCL,DPN,-0.1861,0.5997,False
PAM,DPN,-0.8514,-1.5088,True
PDIA3,DPN,0.3712,-0.0298,False
PDIA6,DPN,0.1230,0.7082,True
PNN,DPN,-1.2648,-2.8258,True
PPARG,DPN,-2.0031,0.3804,False
PUF60,DPN,1.0265,0.4890,True
RPL10A,DPN,-0.9727,1.0794,False
RPL14,DPN,-0.3030,-0.4424,True
RPL27A,DPN,-0.1636,0.1164,False
RPN1,DPN,0.8374,-0.0260,False
RPS8,DPN,0.6620,0.1801,True
RRBP1,DPN,-0.1378,-0.3937,True
ST6GAL1,DPN,-1.3547,-0.1789,True
UBA52,DPN,-0.5212,-0.4188,True
