gene,eqZ,wbZ,ntZ,multiZ
ENSG00000000457,0.470554,2.89426,3.18025,4.29533
ENSG00000000460,-1.34188,-1.9252,-0.125075,-1.44976
ENSG00000000938,2.41285,0.56504,1.37362,1.37084
ENSG00000000971,-1.59828,0.969901,-1.62023,-0.459853
ENSG00000001084,-0.801649,-0.946395,-0.811235,-1.24283
ENSG00000001167,-0.088498,-0.755729,-0.755729,-1.06876
ENSG00000001460,0.488184,-0.985246,1.88842,0.638638
ENSG00000001461,-0.99524,-0.987839,1.4083,0.297311
ENSG00000001561,1.11037,1.46399,-2.5375,-0.759085
ENSG00000001629,-3.07995,-3.12176,-0.0732925,-2.25924
ENSG00000001630,-2.51226,-1.81787,1.80633,-0.00816452
ENSG00000001631,-2.73301,-3.12176,-2.9467,-4.29105
ENSG00000002016,-1.96696,-1.81807,-1.89624,-2.62642
ENSG00000002549,-1.32922,-1.70311,1.51702,-0.13159
ENSG00000002587,-0.833876,-1.64388,-0.138527,-1.26035
ENSG00000002822,7.64257,0.515859,1.73931,1.59464
ENSG00000002834,2.87929,1.86591,1.86591,2.63879
ENSG00000002919,1.4041,1.92407,1.75376,2.60062
ENSG00000002933,0.0328562,-1.70606,2.07212,0.258848
ENSG00000003056,-0.100274,0.214871,0.807211,0.722721
ENSG00000003147,1.16497,0.192351,-1.28176,-0.770328
ENSG00000003249,-6.18016,-4.31475,-2.06962,-4.51443
ENSG00000003402,-0.683561,0.929865,-0.843654,0.0609608
ENSG00000004059,-3.91875,-2.56546,-2.67597,-3.70625
ENSG00000004142,-0.322748,-1.46515,-0.648148,-1.49433
ENSG00000004399,0.413315,0.69491,-0.335538,0.254115
ENSG00000004455,1.47186,1.45278,1.71907,2.24284
ENSG00000004534,3.92211,4.20894,4.20894,5.95235
ENSG00000004660,2.17842,-0.0337591,0.446544,0.291883
ENSG00000004700,0.219101,3.16447,1.81195,3.51886
ENSG00000004766,-0.439081,1.53086,-0.14978,0.976574
ENSG00000004779,2.33949,0.602549,-0.602549,0
ENSG00000004799,0.00160549,1.509,-0.102227,0.994736
ENSG00000005007,-2.21771,0.633376,-0.633376,0
ENSG00000005020,-0.896182,-0.0689448,1.07837,0.713771
ENSG00000005100,2.8452,0.635182,-1.31866,-0.48329
ENSG00000005102,-2.0671,-0.807352,-0.867167,-1.18406
ENSG00000005156,-0.503308,-0.919762,-1.21284,-1.50798
