Gene,Phenotype,Dataset,Z_score,P_value,Direction_vs_FinnGen_eQTLGen,Note
RNH1,DR,UKB GCST90043640 (eQTLGen weights),+0.72,0.470,Consistent,"308 cases/456,040 controls; 854/898 model SNPs; official MetaXcan v0.8.1"
RNH1,DR,UKB GCST90043640 (GTEx v8 MASHR Nerve_Tibial weights),+0.55,0.586,Consistent,4/4 model SNPs; group-level direction check
RNH1,DN,Sakaue et al. 2021 DN,+3.59,3.3e-04,Consistent,"ebi-a-GCST90018832; cross-population atlas check, not a TWAS"
CKAP4,DN,UKB (direction consistent),+0.50,0.62,Consistent,"|Z| <= 0.50, not significant"
HSP90AB1,DN,UKB (direction consistent),+0.45,0.65,Consistent,"|Z| <= 0.50, not significant"
RPS14,DN,UKB (direction consistent),+0.38,>0.05,Consistent,"|Z| <= 0.50, not significant"
EEF2,DN,UKB (not significant),+0.20,>0.05,Consistent,"|Z| <= 0.50, not significant"
,,,,,,
Meta-analysis,DR,"FinnGen R13 + UKB GCST90043640 (k = 2, eQTLGen weights)",+1.52,0.06,—,"Random-effects pooled (unweighted mean, SE = 0.79); both cohorts analysed with eQTLGen weights and the official MetaXcan v0.8.1 binary"
Heterogeneity,DR,Cochran Q = 1.3 (df = 1),I² = 20.5%,0.26,—,"tau = 0.51; 95% PI [-0.33, +3.36] spans zero"
Sensitivity,DR,sqrt(N_e)-weighted re-merge (k = 2),+2.39,0.017,—,"Weighted Stouffer, weights sqrt(N_e,i): Q = 0.12, I² = 0.0%; test Z = 2.39, P = 0.017 (m6_ne_weighted_sensitivity.py)"
Retracted,DR,UKB ieu-b-4803 (former second cohort),n/a,n/a,—,"Dataset ID not resolvable in IEU OpenGWAS (audited 2026-09-16 against the full 50,057-dataset catalogue); the previously carried value (+0.95) had no traceable data or code. Withdrawn from all analyses; see analysis_reports/数据集编号溯源_Xue2022_ieu-b-4803.md"
Direction Consistency,DR,8 testable genes,87.5% (7/8),P = 0.070,Two-sided exact binomial,Group-level direction check (GTEx v8 MASHR weights)
