Gene,Group,Source,Pull-down Unused score,Length (bp),GC content (%),Mean eQTL SNP count
ACTB,Candidate,Literature_curation,0.0,5345,51.0,1.0
CKAP4,Candidate,Pull-down,14.64,20585,47.8,1.5
DDX5,Candidate,Literature_curation,0.0,13107,42.1,1.0
EIF4A1,Candidate,Pull-down,3.71,15881,41.5,1.0
EIF4H,Candidate,Literature_curation,0.0,12055,44.9,2.0
GAPDH,Candidate,Pull-down,6.18,4781,55.7,2.0
H2AFV,Candidate,Literature_curation,0.0,15137,43.7,2.0
HNRNPA3,Candidate,Literature_curation,0.0,10767,47.0,1.0
HSP90AB1,Candidate,Pull-down,11.37,23614,45.0,2.5
HSP90B1,Candidate,Pull-down,4.63,10644,49.8,1.5
HSPA8,Candidate,Pull-down,9.7,7298,46.0,nan
ILF2,Candidate,Literature_curation,0.0,21943,43.1,1.0
RNH1,Candidate,Pull-down,4.0,19790,44.3,3.5
RPL13A,Candidate,Literature_curation,0.0,5863,49.3,1.0
RPL23A,Candidate,Literature_curation,0.0,5402,44.8,1.0
RPL5,Candidate,Pull-down,4.99,7409,46.9,1.0
RPL8,Candidate,Pull-down,3.79,8270,45.6,1.0
RPLP0,Candidate,Pull-down,2.13,5504,46.3,2.0
RPS13,Candidate,Literature_curation,0.0,5861,44.7,2.0
RPS14,Candidate,Pull-down,2.32,5284,47.5,1.5
RPS16,Candidate,Pull-down,1.52,3685,48.0,1.5
RPS18,Candidate,Literature_curation,0.0,5518,48.1,nan
RPS25,Candidate,Literature_curation,0.0,4685,46.3,nan
RPS3,Candidate,Literature_curation,0.0,7803,41.4,1.0
RPSA,Candidate,Pull-down,4.01,5999,50.2,3.0
TUBB,Candidate,Pull-down,6.5,4560,50.5,1.0
VCP,Candidate,Pull-down,4.1,15800,51.8,2.0
XRCC5,Candidate,Literature_curation,0.0,38857,39.3,2.5
XRCC6,Candidate,Literature_curation,0.0,26025,39.3,2.0
YWHAQ,Candidate,Literature_curation,0.0,28638,42.4,1.0
ANXA1,44 Non-Candidate,Pull-down,2.0,24045,44.1,2.0
ANXA5,44 Non-Candidate,Pull-down,3.6,40340,43.3,3.5
ATP5F1A,44 Non-Candidate,Pull-down,3.27,24790,42.1,nan
ATP5F1B,44 Non-Candidate,Pull-down,6.71,17181,41.8,nan
C1QBP,44 Non-Candidate,Pull-down,6.04,7460,48.1,1.5
CAVIN1,44 Non-Candidate,Pull-down,6.32,25445,67.4,nan
CCT3,44 Non-Candidate,Pull-down,2.01,10190,42.1,1.5
DHX9,44 Non-Candidate,Pull-down,2.36,42685,40.5,1.0
EEF1A1P5,44 Non-Candidate,Pull-down,2.59,19412,46.4,nan
EEF2,44 Non-Candidate,Pull-down,4.22,11949,50.3,2.0
EHD4,44 Non-Candidate,Pull-down,2.0,58518,45.8,3.0
ENO1,44 Non-Candidate,Pull-down,7.84,13669,48.9,nan
GNA13,44 Non-Candidate,Pull-down,2.0,12178,43.7,1.0
H2BC13,44 Non-Candidate,Pull-down,9.82,5714,52.1,nan
HMGA1,44 Non-Candidate,Pull-down,4.0,28395,42.1,nan
HNRNPK,44 Non-Candidate,Pull-down,4.41,10786,40.2,nan
HNRNPU,44 Non-Candidate,Pull-down,2.0,26403,43.8,nan
